Captured Samples,Count
dl/54008fcba859f5b1e331aba15e8e1ac418a4b91b4e8f4506718684479d1572d5.raw,65
dl/55bce839ded928cdf0a87339ae335aa9efbdd0e6928c949f4916cd7a7ab9b2ff.raw,65
dl/c40ac547c203204f3b8e75a3d733ea91d521ee20e065d38e543955f1629ada9b.raw,65
dl/d339e88fd6b6f2ad713c835639d09022cbc92d55dab8a0a5006c18ca5d8e01a9.raw,65
dl/07306a572bd37c316cddb9c879b43ad6050d2db6cb89f6aeaff0ce760e1d707c.raw,39
dl/3b89545a62715dfdbb0d0c3962f2434a30c62d59a7cd25ff072b06d3757ab217.raw,39
dl/53387271b6d33d927f12d1c1d93a979b480d9a436b41804ee2fcfbe2518013fb.raw,39
dl/5099d27284c2257d2983450585cbd4bede6475519755508047e213d985cbc7c9.raw,37
dl/340c8464c2007ce3f80682e15dfafa4180b641d53c14201b929906b7b0284d87.raw,18
dl/b15638f7b4a8b555ac13d71c84102cd7e6a0c86aa3a090e716103ff5f0859f25.raw,14
