Filename,"T-Pot Path (/data/cowrie/downloads)",Count
sshd,"dl/94f2e4d8d4436874785cd14e6e6d403507b8750852f7f2040352069a75da4c00",6
sshd,"dl/6e9fdf40571cb4737a4d729f31b0a1ceff9f91fbe7e8ef775e6a82d915e661fb",2
sshd,"dl/97a1e6f817d44a4f8b07fdebaf9357786742096c470eb5d78e789b6bb53979bb",2
sshd,"dl/039c363f2145bd2845b6631d512a74864ff0b6a7ed2d8b270372f8662e9b5593",1
sshd,"dl/0db2c6afeb0ba8623c21f6f53783b2592fb6d20105ec0bf9a6b7fd4e59ae3712",1
"clean.sh","dl/d46555af1173d22f07c37ef9c1e0e74fd68db022f2b6fb3ab5388d2c5bc6a98e",23
"redtail.arm7","dl/d4635f0f5ab84af5e5194453dbf60eaebf6ec47d3675cb5044e5746fb48bd4b4",13
"redtail.arm7","dl/c1aad34e379fb2f7658756025dee4c6e3d7abe7ed6b46834d03cec155776dc42",4
"redtail.arm7","dl/e86081329173be1acc1486a47cee17c9c7b78c50928e7bb9e05a86f1c040a746",3
"redtail.arm7","dl/d41149c44b023b6eeaeb03c1e8fb42014092cec84019de6a04c7571f9d71240e",2
"redtail.arm7","dl/7cd48d762a343b483d0ce857e5d2e30fc795d11a20f1827679b9a05d5ab75c3f",1
"redtail.arm8","dl/992cb5a753697ee2642aa390f09326fcdb7fd59119053d6b1bdd35d47e62f472",13
"redtail.arm8","dl/a3a8fef10077102d44df750c7b62d584e703496d3d989dae5c6063297d73cba5",4
"redtail.arm8","dl/88a339d0932322a43a5101d7afad05fa3bbcdbabe62cd5e287daa077398fef97",3
"redtail.arm8","dl/ef45dda7fa3c4919a93ca440acd896b833070195d2279da1c97f2006c5113198",2
"redtail.arm8","dl/cebd34c54c9ac02902ef8554939cf6a34aa8f320ea051e0f3d67d91685a1abf0",1
"redtail.i686","dl/69dc9dd8065692ea262850b617c621e6c1361e9095a90b653b26e3901597f586",13
"redtail.i686","dl/09c3204915b877a36938809593eb66672ff46173afc01f309c62cbd948b25bac",4
"redtail.i686","dl/42efa318e298e6069af565b5d09f30d38fc15d7ab1f1361addc9288e5a4e4d98",3
"redtail.i686","dl/0546aada4046d963df2717b4222e18c0b8da29d7ffe88ab7329955510b5fc8f4",2
"redtail.i686","dl/f1f34b7b798f8ec472b69eb5bd196381d749ced4d4a461d563896dfa827c84b6",1
