"Top 50 values of username.keyword","Count of records"
root,13123
admin,3314
345gs5662d34,1632
ubuntu,464
guest,334
test,280
steam,258
enable,252
sh,252
user,245
support,225
oracle,218
solana,210
ftp,206
hadoop,203
zyfwp,194
sol,185
redis,182
default,181
jito,154
dolphinscheduler,147
vadmin,146
palworld,144
Admin,141
git,135
vagrant,133
nagios,132
postgres,132
www,132
"www-data",128
bin,119
ubnt,118
node,116
puppet,112
elasticsearch,111
yhtcAdmin,109
caddy,108
wordpress,108
fliruser,104
samba,98
centos,96
es,96
dev,95
ftpuser,93
opc,93
testuser,93
sftp,91
amp,90
dolphin,90
drupal,90
