"Top 50 values of username.keyword","Count of records"
root,1937
admin,950
guest,91
sa,83
default,50
zyfwp,48
vadmin,46
uucp,45
ubuntu,43
Admin,41
ftp,37
fliruser,35
yhtcAdmin,28
daemon,25
test,25
user,25
postgres,21
supervisor,21
support,21
superadmin,20
0,19
"Xpon@Olt9417#",19
ont,19
"telnetadmin_super",19
ubnt,19
telecomadmin,18
ONTUSER,17
bin,17
super,17
supportadmin,17
e8ehomeasb,16
node,16
telnetadmin,16
vstarcam2015,16
123,15
CUAdmin,15
adtecftp,15
1234,14
AdminGPON,14
RPM,14
lnadmin,14
steam,14
telnet,14
validator,14
mg3500,13
,11
Epuser,11
remotessh,11
mysql,10
redis,10
