"Top 50 values of username.keyword","Count of records"
root,"42,011"
admin,"2,828"
sh,754
enable,722
guest,322
345gs5662d34,316
ubuntu,209
default,204
Admin,202
oracle,171
test,160
zyfwp,144
user,143
ftp,139
vadmin,129
support,123
ubnt,103
postgres,101
fliruser,98
blank,96
steam,94
centos,92
solana,92
yhtcAdmin,88
pi,82
sol,81
hadoop,76
node,68
jito,63
daemon,62
"Xpon@Olt9417#",61
ONTUSER,60
telnet,60
bin,59
"telnetadmin_super",57
supervisor,55
ftpuser,54
nobody,54
supportadmin,53
telnetadmin,52
1234,51
redis,51
super,51
CUAdmin,48
ont,48
samba,48
telecomadmin,48
dolphinscheduler,46
mysql,46
AdminGPON,45
